date;diario
04/04/2021;17
05/04/2021;12
06/04/2021;22
07/04/2021;45
08/04/2021;28
09/04/2021;24
10/04/2021;24
11/04/2021;21
12/04/2021;10
13/04/2021;19
14/04/2021;37
15/04/2021;32
16/04/2021;33
17/04/2021;22
18/04/2021;20
19/04/2021;18
20/04/2021;35
21/04/2021;37
22/04/2021;13
23/04/2021;27
24/04/2021;39
25/04/2021;44
26/04/2021;8
27/04/2021;53
28/04/2021;64
29/04/2021;21
30/04/2021;21
01/05/2021;50
02/05/2021;11
03/05/2021;29
04/05/2021;21
06/05/2021;71
07/05/2021;44
08/05/2021;59
09/05/2021;21
10/05/2021;13
11/05/2021;48
12/05/2021;34
13/05/2021;29
14/05/2021;33
15/05/2021;34
16/05/2021;27
17/05/2021;14
18/05/2021;34
19/05/2021;54
20/05/2021;63
21/05/2021;70
22/05/2021;47
23/05/2021;22
24/05/2021;13
25/05/2021;39
26/05/2021;17
27/05/2021;23
28/05/2021;6
29/05/2021;77
30/05/2021;59
31/05/2021;16
01/06/2021;24
02/06/2021;51
03/06/2021;38
04/06/2021;13
05/06/2021;64
